acc_z_mean,acc_z_var,gyro_z_mean,gyro_z_var,motor_input_mean,motor_input_var,acc_xyz_mean,acc_xyz_var,acc_xy_mean,acc_xy_var,gyro_xy_mean,gyro_xy_var,gyro_xyz_mean,gyro_xyz_var,acc_z_spectral_centroid,acc_z_spectral_var,gyro_z_spectral_centroid,gyro_z_spectral_var,motor_input_spectral_centroid,motor_input_spectral_var,acc_xyz_spectral_centroid,acc_xyz_spectral_var,acc_xy_spectral_centroid,acc_xy_spectral_var,gyro_xy_spectral_centroid,gyro_xy_spectral_var,gyro_xyz_spectral_centroid,gyro_xyz_spectral_var,shake_like,spin_like,roll_like,pitch_like,tap_like,drop_like,lift_like,idle_like,class,group
-0.2495208572106181,1.6056200013755173,0.060625129539165,0.0574090680093552,0.0,0.0,1.3715831228729218,2.304482999277235,0.942390213582576,1.6297432880122198,0.412569394405227,0.056105381287383,0.4736984638389281,0.0630131261849142,33.11703846343765,436.2681820690236,32.81658286197831,504.47698892682695,0.0,0.0,33.31067817891521,395.0730908296108,33.40554771412849,370.6854884075125,32.48488601825802,553.8486040449561,32.61722154225414,541.8387217151912,0.0,0.4315690535809431,0.4298677573273979,0.3597320454678908,0.5048277131000901,0.0,0.0,0.4493721275690285,Bounce,Bounce-1-29may
-0.0942352457595837,2.8634840474084333,0.0794334868340594,0.0200482287329614,0.0,0.0,2.1018426805294,4.703560562487973,1.6719902634348172,3.453387446210358,0.7445277543934553,0.6289623519478198,0.7712979129947901,0.6147413659834404,33.74138306171844,343.31045961453583,31.39665464228421,565.6984830952782,0.0,0.0,33.52012133986938,324.6079257025474,33.42615518419912,313.4899708889271,31.94135183156166,558.5663244978581,31.94050998150334,557.7895234695029,0.0,0.211822650140911,0.4916212409647179,0.246961210482671,0.1342192697677233,0.0,0.0,0.3937785905852156,Bounce,Bounce-1-29may
-0.2244126624252627,7.013571992548277,0.0054044140988267,0.0329665954068477,0.0,0.0,2.5329265752212136,4.115346770091921,1.4358034937878434,1.4055990971753385,0.5728030405646349,0.1234072028434094,0.6113325813105744,0.1107788042502495,31.60735942214448,287.0832273391439,31.848701229129844,471.1025783073856,0.0,0.0,31.60442989183697,303.3475636270649,31.561713613190843,331.23641966943586,31.07916387904683,443.3544112749265,31.11597287055596,445.5397935942972,0.0,0.275683362778192,0.4275242500122395,0.2751008868499689,0.1267789182118615,0.0,0.0,0.4054824993131591,Bounce,Bounce-1-29may
-0.7661103090832583,4.829180361887633,-0.0350668455447681,0.1460259282942845,0.0,0.0,2.133119871793247,4.344915252493116,1.044626724252696,2.3877652793381614,0.4368665360375973,0.2582331015847497,0.5375298485364642,0.3074027457773499,33.433324398960266,343.1153373869845,34.566665368159754,454.2359697077584,0.0,0.0,33.83793868464113,345.4066723808756,34.56834353058656,347.04103442211715,34.255027758988284,455.03279354060936,34.33281619519735,455.87157939357326,0.0,0.4303725375800206,0.2841066382340469,0.2720897420271144,0.1481832459156011,0.6666977642882491,0.0,0.3956321240970287,Bounce,Bounce-1-29may
-0.5693507062268818,4.626381367981503,-0.0584058564154252,0.1066526195670344,0.0,0.0,2.2794660858992097,4.127409358600111,1.4443701048821804,2.2866284008248616,0.4682926596563343,0.1090645725367864,0.5696116600160948,0.1139690080291526,34.76553254884813,403.74524208907945,35.132746307897264,507.1960722682241,0.0,0.0,35.12937293502737,380.92213615767673,35.68747446806334,349.9806492218447,34.947403746900115,505.4816728841024,35.01936100846184,505.9587163986727,0.0,0.4156007286854581,0.2565229670664389,0.3542950870374,0.1176655328388515,0.5270183993291839,0.0,0.3963711815117151,Bounce,Bounce-1-29may
-0.4303733784906671,4.812246577370503,0.0220603950416379,0.2584259136716538,0.0,0.0,2.557857241829198,5.268379949619562,1.6823007205379616,3.9834100825911136,0.9758834594197768,0.4378736673279974,1.068965865786867,0.5064467461806889,36.00902551225178,488.3710172241106,36.76719085573008,606.6175748891828,0.0,0.0,36.40937913966792,426.1881755375428,36.82576739079552,390.29773662294144,34.37706248779424,679.1138447593443,34.64699991870005,671.0270827439803,0.0,0.3719410843559848,0.3530611615745248,0.3868664656783592,0.2154302963270119,0.4121744335661653,0.0,0.4084696858799201,Bounce,Bounce-1-29may
-1.3767746556441025,1.1612293095537614,0.0039974781149214,0.0264512892249381,0.0,0.0,2.539991928060282,4.092493233657513,1.8861864012079208,3.929615326189517,0.5004755625071274,0.5221254139398263,0.5433590425240021,0.503829422570269,30.02415738396528,501.0482421907479,34.8772309957837,445.61036744198753,0.0,0.0,32.79981074943682,416.6115818094363,34.07149358472048,378.43421912218986,34.46547328053205,539.5189582072472,34.481878713198384,535.0505442612977,0.0,0.230532182331466,0.4390323344398916,0.1479026808323811,0.0686226268699934,0.0,0.0,0.3949873261221514,Bounce,Bounce-1-29may
-1.3134519843392536,0.1962382146286944,-0.0048424812748634,0.0106534983145678,0.0,0.0,1.7505340789159738,0.8696714605486474,1.09701999919606,0.8091938135653024,0.0549957584728615,0.0021885512927005,0.0931682204350353,0.0072097153831397,24.245926001923188,528.9610774533503,33.792261179110355,440.9261836145271,0.0,0.0,28.485831929237268,505.2829490825156,30.255677640733825,484.06293941329886,33.808841458809695,455.6037528504624,33.800301668426904,447.2414977702968,0.0,0.2091903484068286,0.2554067276128098,0.1922519248703682,0.2529399700019024,0.4905994061661376,0.0,0.4111510830326158,Bounce,Bounce-1-29may
-0.0973136201896426,3.306368027612917,-0.1452733673808812,0.1879148685093945,0.0,0.0,1.8428757951072063,2.484374505765236,1.2629590146717902,0.9696622609291838,0.8098053545166264,0.5274119788943795,0.928273462828867,0.5305242890854576,40.23540536672075,484.8424741893746,38.53418634887887,909.507402270876,0.0,0.0,40.29113211849878,548.128941200739,40.3534786910008,620.2424021281495,38.41113981452637,928.379928404382,38.47226171735152,924.4601294864848,0.0,0.39827020785329,0.3784741460568862,0.2513642493694563,0.5219985562420689,0.0,0.0,0.3933734222161105,Bounce,Bounce-1-29may
0.0770554226204394,0.2714207514326412,-0.0968619197719664,0.0538401440680452,0.0,0.0,0.7097555753262469,0.7247334507528581,0.6017605000893803,0.589012438403873,0.3934287222948077,0.0608609881868585,0.4417662041373077,0.0837121441654541,37.22219578621926,686.4043792196366,35.468905909136694,837.7758594969589,0.0,0.0,37.65938311076449,567.3925654785129,37.9064698574707,533.6950375055271,33.99428551750761,722.4043984416841,34.39193311461351,744.3043722858121,0.0,0.4441315496866662,0.3783555108995199,0.290730194057035,0.4171650407445257,0.0,0.0,0.4247043143012264,Bounce,Bounce-1-29may
-0.8333445905422321,2.221686127292944,0.0010696073661655,0.100574725653863,0.0,0.0,2.058465638519947,5.390257283683247,1.2561668559065429,5.133433564893506,0.3147587051502421,0.4375057317880635,0.3649319294630245,0.5039793308280953,36.2910687408572,473.06582680671306,38.98278314725843,568.9707128517307,0.0,0.0,37.66880854308686,399.6957363202523,38.68450360670476,359.16200334216325,38.82166012398856,394.2358926341512,38.8394551435062,422.83945351234905,0.0,0.3227451876890186,0.2638750271777512,0.2067172325609411,0.3498579945135306,0.7126629203962995,0.0,0.3957006122156523,Bounce,Bounce-2-29may
-0.6283253942967207,5.1417717800195,-0.077121764658912,0.0649819129286581,0.0,0.0,2.4313100289625487,3.5299679938508,1.370525693670778,2.026331192635272,0.9298983148492016,0.3672029513429373,0.9669074362081048,0.367933516620555,41.61981284544925,605.5473641959692,41.31199912317736,889.2994818609172,0.0,0.0,41.99794985675283,562.7176062298176,42.85059212189751,499.4244960061877,39.01832685171239,835.9153011181888,39.1716105289805,840.3279664892428,0.0,0.3817800186893517,0.3501712948894309,0.3677536592018328,0.0762434304726116,0.5230398117246149,0.0,0.3937060693121828,Bounce,Bounce-2-29may
-0.3078114369089484,3.1681368615930023,0.0277769301854939,0.0656163126801437,0.0,0.0,1.9373273842819656,3.233432633034077,1.3047223244867407,2.021484940623841,0.6700719925610886,0.3736831944358521,0.7185705424339175,0.3727239157275386,41.58406488179356,564.8524126795701,41.89983147951844,855.3286792055873,0.0,0.0,41.90132920049116,517.021043201684,42.314820972084696,470.9606738209225,39.45235520105472,816.2204492742638,39.6192800393094,821.258889829457,0.0,0.350752318656667,0.4537034105391143,0.2770072629924718,0.08315164286386,0.5230398117246149,0.0,0.3946836730617065,Bounce,Bounce-2-29may
-1.6658740613860794,4.246712985885197,0.1921787650894454,0.1334583968970585,0.0,0.0,3.0093668858056706,5.113323432872723,2.058492783193308,2.910370573513363,1.1515951505535569,1.3724575624016877,1.2276834918785866,1.3618132715973204,33.91650923791777,616.8538212304179,34.78955378977181,688.1172578285777,0.0,0.0,35.07808439988389,580.8188624013959,36.15683466519204,553.6739233788053,36.009821782814555,829.0797077417535,35.945651621949594,820.5298982234195,0.0,0.3975000818878479,0.3866891972133784,0.2581853368672557,0.4265135802590544,0.0,0.0,0.4038442715850498,Bounce,Bounce-2-29may
